full_terms,domain_label_1,domain_label_2,domain_label_3,human_annotation,in_experiments
1-4 family rider,FS,FS,FS,FS,0
401,FS,FS,FS,FS,1
403,FS,FS,FS,FS,0
529 plan,FS,FS,FS,FS,0
Abandoned,FC,G,FC,FC,1
Abandonment,FC,G,FC,FC,1
Abatement,FC,FS,FS,,0
Ability to pay,FS,FC,FS,FS,1
Ability to repay,FS,FC,FS,,0
Abrogate,FC,G,G,,0
Absolute title,FS,FS,FS,FS,0
Abstract update,FC,FC,G,,0
Abusive practice,FC,FC,FC,FC,0
Academic program,G,G,G,G,0
Acceleration,FS,FS,FS,FS,0
Acceleration clause,FS,FS,FS,FS,0
Acceleration letter,FS,FS,FS,FS,0
Access,FC,G,FC,FC,1
Account,FS,FC,FS,FC,1
Account Review Inquiry,FS,FS,FS,FS,0
Accountant,FS,FC,FS,FS,1
Accrued,FS,FS,FS,FS,1
Acknowledgement,FC,G,FC,,0
Acknowledgement of receipt,FC,G,FC,,0
"Acknowledgement, certificate of",FC,G,FC,,0
Acquittal,FC,G,G,,0
Act,FC,G,FC,FC,1
Act of God,FC,FC,FC,FC,0
Action plan,FC,G,FC,,0
Active military duty,FC,G,FC,,0
Actual cash value,FS,FS,FS,FS,0
Add-on,FC,FC,FC,FC,0
Addendum,FC,G,FC,,0
Additional principal payment,FS,FS,FS,FS,0
Addressee,FC,G,FC,,0
Adjustable interest rate table,FS,FS,FS,FS,0
Adjustable payment table,FS,FS,FS,FS,0
Adjustable rate,FS,FS,FS,FS,0
Adjustable-rate mortgage,FS,FS,FS,FS,0
Adjustable-rate note,FS,FS,FS,FS,0
Adjustable-rate rider,FS,FS,FS,FS,0
Adjuster,FS,FC,FS,,0
Adjustment date,FS,FS,FS,FS,0
"Adjustment interval, adjustment period",FS,FS,FS,FS,0
Administration for Community Living,G,G,G,G,0
Administration on Aging,G,G,G,G,0
Administrative law judge,FC,G,FC,,0
Administrative order,FC,G,FC,FC,1
Administrative rule,FC,G,FC,,0
Adult Protective Services,G,G,G,G,0
Advance directive,FC,G,FC,,0
Adverse action,FS,FC,FS,FS,1
Advocacy group,G,G,G,G,0
Affidavit,FC,G,FC,FC,1
Affinity fraud,FS,FS,FS,FS,0
Affirmative step,FC,G,FC,,0
