full_terms,domain_label_1,domain_label_2,domain_label_3,human_annotation,in_experiments
1040 U.S. Individual Income Tax Return,TS,TS,TS,TS,0
1040-ES Estimated Tax for Individuals,TS,TS,TS,TS,0
1040-NR U.S. Nonresident Alien Income Tax Return,TS,TS,TS,TS,0
1040NR U.S. Nonresident Alien Income Tax Return,TS,TS,TS,TS,0
1040–NR U.S. Nonresident Alien Income Tax Return,TS,TS,TS,TS,0
2290 Heavy Highway Vehicle Use Tax Return,TS,TS,TS,TS,0
2848 Power of Attorney and Declaration of Representative,TS,TS,TS,TS,0
"8300 Report of Cash Payments Over $10,000 Received in a Trade or Business",TS,TS,TS,TS,0
8849 Claim for Refund of Excise Taxes,TS,TS,TS,TS,0
940 Employer’s Annual Federal Unemployment Tax Return,TS,TS,TS,TS,0
941 Employer’s Quarterly Federal Tax Return,TS,TS,TS,TS,0
943 Employer’s Annual Tax Return for Agricultural Employees,TS,TS,TS,TS,0
Accelerated Cost Recovery System,G,TS,TS,TS,0
Airline Deregulation Act of 1978 Program,G,G,G,G,0
Alaska Permanent Fund,G,G,G,TS,0
Alternate Trade Adjustment Assistance,G,G,G,G,0
American Rescue Plan Act of 2021,G,G,G,TS,1
American opportunity tax credit,TS,TS,TS,TS,1
Archer MSA,TS,TS,TC,TS,0
Archer MSAs and long-term care insurance contracts,TS,TC,TC,TS,0
Audit Division,TS,TS,TS,TS,0
Bureau of the Fiscal Service,G,G,G,G,0
C corporation,G,TC,TS,TS,0
COBRA premium assistance payments,G,TS,TC,TS,0
Civil Service Retirement System,G,G,G,G,1
Collection Appeals Program,TS,TS,TS,TS,0
Collection Division,TS,TS,TS,TS,0
Combat-Injured Veterans Tax Fairness Act of 2016,TS,TS,G,TS,0
Combined Annual Wage Reporting System,TS,G,G,TS,0
Commissioner of the Internal Revenue Service,TS,TS,TS,TS,0
Conservation Reserve Program,G,G,G,G,0
Consolidated Omnibus Budget Reconciliation Act,G,G,G,G,0
Coverdell education savings account,TS,TS,TS,TS,0
Department of Health and Human Services,G,G,G,G,0
Department of Homeland Security,G,G,G,G,1
Department of Labor,G,G,G,G,0
Department of Veterans Affairs,G,G,G,G,0
Department of the Treasury,G,G,G,G,1
Electronic Federal Tax Payment System,TS,TS,TS,TS,1
Federal District Court,G,G,G,G,0
Federal Employees Health Benefit Program,G,G,G,G,0
Federal Insurance Contributions Act,TS,TS,G,TS,0
Federal Payment Levy Program,TS,TS,TS,TS,0
Federal Trade Commission,G,G,G,G,0
Federal Unemployment Tax Act,TS,TS,G,TS,0
Federal Unemployment Trust Fund,TS,TS,G,TS,0
Financial Crimes Enforcement Network,G,G,G,G,0
